"date","close","volume","open","high","low"
,,,,,
15/12/17,173.97,40122100,173.63,174.17,172.46
14/12/17,172.22,20442740,172.4,173.13,171.65
13/12/17,172.27,23402510,172.5,173.54,172
12/12/17,171.7,19088170,172.15,172.39,171.46
11/12/17,172.67,34260890,169.2,172.89,168.79
08/12/17,169.37,23285760,170.49,171,168.82
07/12/17,169.32,25656110,169.03,170.44,168.91
06/12/17,169.01,28397810,167.5,170.2,166.46
05/12/17,169.64,27315530,169.06,171.52,168.4
04/12/17,169.8,32512580,172.48,172.62,169.63
01/12/17,171.05,39735110,169.95,171.67,168.5
30/11/17,171.85,41484540,170.43,172.14,168.44
29/11/17,169.48,41459120,172.63,172.92,167.16
28/11/17,173.07,26387240,174.3,174.87,171.86
27/11/17,174.09,20591090,175.05,175.08,173.34
24/11/17,174.97,14026670,175.1,175.5,174.65
22/11/17,174.96,25558680,173.36,175,173.05
21/11/17,173.14,25047130,170.78,173.7,170.78
20/11/17,169.98,16041550,170.29,170.56,169.56
17/11/17,170.15,21884010,171.04,171.39,169.64
16/11/17,171.1,23598650,171.18,171.87,170.3
15/11/17,169.08,28998220,169.97,170.32,168.38
14/11/17,171.34,24683350,173.04,173.48,171.18
13/11/17,173.97,16956290,173.5,174.5,173.4
10/11/17,174.67,25129510,175.11,175.38,174.27
09/11/17,175.88,29422610,175.11,176.1,173.14
08/11/17,176.24,24358920,174.66,176.24,174.33
07/11/17,174.81,24332120,173.91,175.25,173.6
06/11/17,174.25,34770480,172.37,174.99,171.72
03/11/17,172.5,59332210,174,174.26,171.12
02/11/17,168.11,39668100,167.64,168.5,165.28
01/11/17,166.89,33482970,169.87,169.94,165.61
31/10/17,169.04,35779520,167.9,169.65,166.94
30/10/17,166.72,44651420,163.89,168.07,163.72
27/10/17,163.05,44387770,159.29,163.6,158.7
26/10/17,157.41,16916650,157.23,157.83,156.78
25/10/17,156.41,21175670,156.91,157.55,155.27
24/10/17,157.1,17633730,156.29,157.42,156.2
23/10/17,156.17,21888930,156.89,157.69,155.5
20/10/17,156.25,23907540,156.61,157.75,155.96
19/10/17,155.98,42357420,156.75,157.08,155.02
18/10/17,159.76,16252850,160.42,160.71,159.6
17/10/17,160.47,18969700,159.78,160.87,159.23
16/10/17,159.88,24093300,157.9,160,157.65
13/10/17,156.99,16367780,156.73,157.28,156.41
12/10/17,156,16380570,156.35,157.37,155.73
11/10/17,156.55,16861450,155.97,156.98,155.75
10/10/17,155.9,15603520,156.06,158,155.1
09/10/17,155.84,16243080,155.81,156.73,155.49
06/10/17,155.3,17223790,154.97,155.49,154.56
05/10/17,155.39,21215870,154.18,155.44,154.05
04/10/17,153.48,20088940,153.63,153.86,152.46
03/10/17,154.48,16216800,154.01,155.09,153.91
02/10/17,153.81,18631540,154.26,154.45,152.72
29/09/17,154.12,26204670,153.21,154.13,152
28/09/17,153.28,21983410,153.89,154.28,152.7
27/09/17,154.23,25402270,153.8,154.72,153.54
26/09/17,153.14,35907770,151.78,153.92,151.69
25/09/17,150.55,44366140,149.99,151.83,149.16
22/09/17,151.89,46575410,152.02,152.27,150.56
21/09/17,153.39,37350060,155.8,155.8,152.75
20/09/17,156.07,52126240,157.9,158.26,153.83
19/09/17,158.73,20565620,159.51,159.77,158.44
18/09/17,158.67,28157630,160.11,160.5,158
15/09/17,159.88,48846060,158.47,160.97,158
